County,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,TOTAL,Incidence/100000,
Alameda,2,4,0,3,11,8,12,4,8,6,58,0.36,
Alpine,0,0,0,0,0,0,0,0,0,0,0,0.00,
Arnador,0,0,1,0,2,0,0,0,0,1,4,1.06,
Butte,0,0,0,1,0,2,0,0,1,0,4,0.19,
Calaveras,0,0,0,0,1,0,1,0,1,0,3,0.66,
Colusa,0,0,0,0,0,0,0,0,0,0,0,0.00,
Contra Costa,1,4,5,2,4,6,12,10,2,2,48,0.44,
Del Norte,0,0,0,0,0,0,0,0,0,0,0,0.00,
El Dorado,0,2,0,2,2,1,2,0,0,0,9,0.48,
Fresno,1,4,0,1,1,1,0,1,1,0,10,0.10,
Glenn,0,0,0,1,0,0,0,0,1,0,2,0.69,
Humboldt,5,4,4,4,6,4,3,1,2,0,33,2.46,
Imperial,0,0,0,0,0,0,0,0,0,0,0,0.00,
Inyo,0,0,0,0,0,0,0,0,0,0,0,0.00,
Kern,0,0,0,0,1,1,0,0,1,0,3,0.03,
Kings,0,0,1,0,0,1,0,0,0,0,2,0.13,
Lake,0,0,0,0,1,1,0,0,3,1,6,0.93,
Lassen,0,0,0,0,0,1,0,0,0,0,1,0.31,
Los Angeles,8,2,17,6,6,1,3,2,3,0,48,0.05,
Madera,1,0,0,0,0,0,0,0,0,1,2,0.13,
Marin,1,3,6,5,5,3,0,1,8,0,32,1.25,
Mariposa,0,1,1,1,1,0,0,0,0,0,4,2.21,
Mendocino,3,4,0,1,0,1,1,1,10,1,22,2.50,
Merced,1,0,0,0,0,0,0,0,0,0,1,0.04,
Modoc,0,0,0,0,0,0,0,0,0,0,0,0.00,
Mono,0,0,1,0,0,0,0,0,0,0,1,0.73,
Monterey,1,1,1,0,0,1,0,0,1,0,5,0.12,
Napa,1,1,0,2,2,2,0,1,0,1,10,0.73,
Nevada,6,2,1,1,1,2,0,2,1,0,16,1.63,
Orange,6,0,0,0,0,1,0,0,0,0,7,0.02,
Placer,1,2,1,0,0,2,3,0,0,0,9,0.24,
Plumas,0,0,0,1,0,0,0,0,0,0,1,0.52,
Riverside,4,0,2,1,1,3,1,1,1,2,16,0.07,
Sacramento,1,2,0,0,0,1,1,3,2,0,10,0.07,
San Benito,0,0,0,0,1,0,0,0,0,0,1,0.17,
San Bernardino,2,0,1,0,1,0,0,0,2,0,6,0.03,
San Diego,8,7,8,8,9,7,1,8,0,2,58,0.18,
San Francisco,1,2,5,0,0,0,11,14,10,3,46,0.54,
San Joaquin,0,1,0,1,0,1,0,1,3,0,7,0.10,
San Luis Obispo,0,1,5,3,3,1,1,1,3,2,20,0.73,
San Mateo,0,1,3,6,5,5,4,0,2,1,27,0.36,
Santa Barbara,3,0,6,0,4,8,3,3,2,1,30,0.68,
Santa Clara,11,4,13,5,10,11,7,5,2,3,71,0.38,
Santa Cruz,8,5,5,6,8,7,15,10,11,3,78,2.92,
Shasta,1,1,0,0,0,0,0,0,0,1,3,0.17,
Sierra,0,1,0,0,0,0,0,1,0,0,2,6.22,
Siskiyou,0,1,1,0,1,1,1,1,0,0,6,1.34,
Solano,0,0,0,0,0,3,2,2,0,1,8,0.19,
Sonoma,6,12,7,11,12,11,8,8,5,0,80,1.64,
Stanislaus,0,0,0,0,1,1,3,2,0,0,7,0.13,
Sutter,0,0,0,0,0,0,0,0,0,0,0,0.00,
Tehama,0,0,0,0,0,3,1,0,0,0,4,0.62,
Trinity,2,1,0,1,0,0,0,0,0,0,4,2.92,
Tulare,0,1,0,0,1,1,0,0,4,0,7,0.15,
Tuolumne,0,0,0,0,1,0,0,0,1,0,2,0.36,
Ventura,0,3,2,0,0,3,3,2,2,0,15,0.18,
Yolo,0,1,1,0,1,1,3,0,0,0,7,0.33,
Yuba,0,2,0,1,0,0,0,0,0,1,4,0.53,
TOTAL,85,80,98,74,103,107,102,85,93,33,880,0.22,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
