County,year,incidence
Alameda,2011,2
Alameda,2012,4
Alameda,2013,0
Alameda,2014,3
Alameda,2015,11
Alameda,2016,8
Alameda,2017,12
Alameda,2018,4
Alameda,2019,8
Alameda,2020,6
Alpine,2011,0
Alpine,2012,0
Alpine,2013,0
Alpine,2014,0
Alpine,2015,0
Alpine,2016,0
Alpine,2017,0
Alpine,2018,0
Alpine,2019,0
Alpine,2020,0
Arnador,2011,0
Arnador,2012,0
Arnador,2013,1
Arnador,2014,0
Arnador,2015,2
Arnador,2016,0
Arnador,2017,0
Arnador,2018,0
Arnador,2019,0
Arnador,2020,1
Butte,2011,0
Butte,2012,0
Butte,2013,0
Butte,2014,1
Butte,2015,0
Butte,2016,2
Butte,2017,0
Butte,2018,0
Butte,2019,1
Butte,2020,0
Calaveras,2011,0
Calaveras,2012,0
Calaveras,2013,0
Calaveras,2014,0
Calaveras,2015,1
Calaveras,2016,0
Calaveras,2017,1
Calaveras,2018,0
Calaveras,2019,1
Calaveras,2020,0
Colusa,2011,0
Colusa,2012,0
Colusa,2013,0
Colusa,2014,0
Colusa,2015,0
Colusa,2016,0
Colusa,2017,0
Colusa,2018,0
Colusa,2019,0
Colusa,2020,0
Contra Costa,2011,1
Contra Costa,2012,4
Contra Costa,2013,5
Contra Costa,2014,2
Contra Costa,2015,4
Contra Costa,2016,6
Contra Costa,2017,12
Contra Costa,2018,10
Contra Costa,2019,2
Contra Costa,2020,2
Del Norte,2011,0
Del Norte,2012,0
Del Norte,2013,0
Del Norte,2014,0
Del Norte,2015,0
Del Norte,2016,0
Del Norte,2017,0
Del Norte,2018,0
Del Norte,2019,0
Del Norte,2020,0
El Dorado,2011,0
El Dorado,2012,2
El Dorado,2013,0
El Dorado,2014,2
El Dorado,2015,2
El Dorado,2016,1
El Dorado,2017,2
El Dorado,2018,0
El Dorado,2019,0
El Dorado,2020,0
Fresno,2011,1
Fresno,2012,4
Fresno,2013,0
Fresno,2014,1
Fresno,2015,1
Fresno,2016,1
Fresno,2017,0
Fresno,2018,1
Fresno,2019,1
Fresno,2020,0
Glenn,2011,0
Glenn,2012,0
Glenn,2013,0
Glenn,2014,1
Glenn,2015,0
Glenn,2016,0
Glenn,2017,0
Glenn,2018,0
Glenn,2019,1
Glenn,2020,0
Humboldt,2011,5
Humboldt,2012,4
Humboldt,2013,4
Humboldt,2014,4
Humboldt,2015,6
Humboldt,2016,4
Humboldt,2017,3
Humboldt,2018,1
Humboldt,2019,2
Humboldt,2020,0
Imperial,2011,0
Imperial,2012,0
Imperial,2013,0
