,year,month,site,block,plot,total,deoc,ipac,deva,other,log_total,station,mean_maxF,mean_minF,precip_in,precip_mm,cum_mammal,shan_mammal,rich_mammal,liz_estimates,mam_estimates,mean_maxC,mean_minC,tempdifF,tempdifC,elevation,rain_year,plotidname,plotID
1,2016,April,Arid,2,Open,1,1,0,0,0,0.693147181,Lebec,66.3,43.1,0.57,14.47802896,13,0.5895476,2,61,6,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Open.2,10
2,2016,April,Arid,2,Partial,1,0,1,0,0,0.693147181,Lebec,66.3,43.1,0.57,14.47802896,42,1.0016857,4,73,46,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Partial.2,13
3,2016,April,Arid,2,Total,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,34,1.2446206,4,61,41,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Total.2,16
4,2016,April,Arid,1,Open,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,13,0.5895476,2,52,2,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Open.1,1
5,2016,April,Arid,1,Partial,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,42,1.0016857,4,74,16,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Partial.1,4
6,2016,April,Arid,1,Total,1,1,0,0,0,0.693147181,Lebec,66.3,43.1,0.57,14.47802896,34,1.2446206,4,68,16,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Total.1,7
7,2016,April,Arid,3,Open,2,2,0,0,0,1.098612289,Lebec,66.3,43.1,0.57,14.47802896,13,0.5895476,2,83,3,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Open.3,19
8,2016,April,Arid,3,Partial,0,0,0,0,0,0,Lebec,66.3,43.1,0.57,14.47802896,42,1.0016857,4,70,#N/A,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Partial.3,22
9,2016,April,Arid,3,Total,2,1,1,0,0,1.098612289,Lebec,66.3,43.1,0.57,14.47802896,34,1.2446206,4,89,16,19.05555556,6.166666667,23.2,12.88888889,1089.7,2015/2016,Arid.Total.3,25
10,2016,April,Intermediate,3,Open,3,2,0,1,0,1.386294361,Loraine,64.9,39.6,1.64,41.65608331,8,0.5895476,2,208,#N/A,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Open.3,20
11,2016,April,Intermediate,3,Partial,1,1,0,0,1,0.693147181,Loraine,64.9,39.6,1.64,41.65608331,12,0.748017,2,163,#N/A,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Partial.3,23
12,2016,April,Intermediate,3,Total,2,2,0,0,0,1.098612289,Loraine,64.9,39.6,1.64,41.65608331,23,0.687067,2,177,2,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Total.3,26
13,2016,April,Intermediate,2,Open,2,1,1,0,0,1.098612289,Loraine,64.9,39.6,1.64,41.65608331,8,0.5895476,2,85,6,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Open.2,11
14,2016,April,Intermediate,2,Total,0,0,0,0,0,0,Loraine,64.9,39.6,1.64,41.65608331,23,0.687067,2,85,#N/A,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Total.2,17
15,2016,April,Intermediate,2,Partial,1,1,0,0,0,0.693147181,Loraine,64.9,39.6,1.64,41.65608331,12,0.748017,2,48,2,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Partial.2,14
16,2016,April,Intermediate,1,Total,0,0,0,0,0,0,Loraine,64.9,39.6,1.64,41.65608331,23,0.687067,2,138,32,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Total.1,8
17,2016,April,Intermediate,1,Open,1,1,0,0,0,0.693147181,Loraine,64.9,39.6,1.64,41.65608331,8,0.5895476,2,130,#N/A,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Open.1,2
18,2016,April,Intermediate,1,Partial,2,2,0,0,0,1.098612289,Loraine,64.9,39.6,1.64,41.65608331,12,0.748017,2,134,8,18.27777778,4.222222222,25.3,14.05555556,1290.8,2015/2016,Intermediate.Partial.1,5
19,2016,April,Mesic,1,Total,0,0,0,0,0,0,Chuchupate,62.6,32.4,#N/A,#N/A,72,1.1596465,4,#N/A,63,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Total.1,9
20,2016,April,Mesic,1,Partial,0,0,0,0,0,0,Chuchupate,62.6,32.4,#N/A,#N/A,62,1.3021472,4,#N/A,216,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Partial.1,6
21,2016,April,Mesic,1,Open,0,0,0,0,0,0,Chuchupate,62.6,32.4,#N/A,#N/A,48,1.1649914,3,#N/A,29,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Open.1,3
22,2016,April,Mesic,2,Total,0,0,0,0,0,0,Chuchupate,62.6,32.4,#N/A,#N/A,72,1.1596465,4,#N/A,8,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Total.2,18
23,2016,April,Mesic,2,Partial,1,1,0,0,0,0.693147181,Chuchupate,62.6,32.4,#N/A,#N/A,62,1.3021472,4,#N/A,16,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Partial.2,15
24,2016,April,Mesic,2,Open,0,0,0,0,0,0,Chuchupate,62.6,32.4,#N/A,#N/A,48,1.1649914,3,#N/A,2,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Open.2,12
25,2016,April,Mesic,3,Total,1,1,0,0,0,0.693147181,Chuchupate,62.6,32.4,#N/A,#N/A,72,1.1596465,4,#N/A,18,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Total.3,27
26,2016,April,Mesic,3,Partial,0,0,0,0,0,0,Chuchupate,62.6,32.4,#N/A,#N/A,62,1.3021472,4,#N/A,#N/A,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Partial.3,24
27,2016,April,Mesic,3,Open,0,0,0,0,0,0,Chuchupate,62.6,32.4,#N/A,#N/A,48,1.1649914,3,#N/A,13,17,0.222222222,30.2,16.77777778,1493.5,2015/2016,Mesic.Open.3,21
28,2016,August,Arid,1,Open,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,13,0.5895476,2,52,2,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Open.1,1
29,2016,August,Arid,1,Partial,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,42,1.0016857,4,74,16,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Partial.1,4
30,2016,August,Arid,1,Total,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,34,1.2446206,4,68,16,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Total.1,7
31,2016,August,Arid,2,Open,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,13,0.5895476,2,61,6,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Open.2,10
32,2016,August,Arid,2,Partial,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,42,1.0016857,4,73,46,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Partial.2,13
33,2016,August,Arid,2,Total,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,34,1.2446206,4,61,41,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Total.2,16
34,2016,August,Arid,3,Open,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,13,0.5895476,2,83,3,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Open.3,19
35,2016,August,Arid,3,Partial,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,42,1.0016857,4,70,#N/A,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Partial.3,22
36,2016,August,Arid,3,Total,0,0,0,0,0,0,Lebec,87.9,60.3,0,0,34,1.2446206,4,89,16,31.05555556,15.72222222,27.6,15.33333333,1089.7,2015/2016,Arid.Total.3,25
37,2016,August,Intermediate,1,Total,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,23,0.687067,2,138,32,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Total.1,8
38,2016,August,Intermediate,2,Open,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,8,0.5895476,2,85,6,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Open.2,11
39,2016,August,Intermediate,2,Partial,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,12,0.748017,2,48,2,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Partial.2,14
40,2016,August,Intermediate,2,Total,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,23,0.687067,2,85,#N/A,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Total.2,17
41,2016,August,Intermediate,3,Open,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,8,0.5895476,2,208,#N/A,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Open.3,20
42,2016,August,Intermediate,3,Partial,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,12,0.748017,2,163,#N/A,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Partial.3,23
43,2016,August,Intermediate,3,Total,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,23,0.687067,2,177,2,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Total.3,26
44,2016,August,Intermediate,1,Open,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,8,0.5895476,2,130,#N/A,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Open.1,2
45,2016,August,Intermediate,1,Partial,0,0,0,0,0,0,Loraine,90.5,56.4,0,0,12,0.748017,2,134,8,32.5,13.55555556,34.1,18.94444444,1290.8,2015/2016,Intermediate.Partial.1,5
46,2016,August,Mesic,1,Open,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,48,1.1649914,3,#N/A,29,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Open.1,3
47,2016,August,Mesic,1,Partial,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,62,1.3021472,4,#N/A,216,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Partial.1,6
48,2016,August,Mesic,1,Total,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,72,1.1596465,4,#N/A,63,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Total.1,9
49,2016,August,Mesic,2,Open,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,48,1.1649914,3,#N/A,2,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Open.2,12
50,2016,August,Mesic,2,Partial,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,62,1.3021472,4,#N/A,16,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Partial.2,15
51,2016,August,Mesic,2,Total,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,72,1.1596465,4,#N/A,8,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Total.2,18
52,2016,August,Mesic,3,Open,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,48,1.1649914,3,#N/A,13,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Open.3,21
53,2016,August,Mesic,3,Partial,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,62,1.3021472,4,#N/A,#N/A,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Partial.3,24
54,2016,August,Mesic,3,Total,0,0,0,0,0,0,Chuchupate,87.5,43.3,0,0,72,1.1596465,4,#N/A,18,30.83333333,6.277777778,44.2,24.55555556,1493.5,2015/2016,Mesic.Total.3,27
55,2016,December,Arid,1,Open,1,0,1,0,0,0.693147181,Lebec,52.1,36.4,3.43,87.12217424,13,0.5895476,2,52,2,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Open.1,1
56,2016,December,Arid,1,Partial,0,0,0,0,0,0,Lebec,52.1,36.4,3.43,87.12217424,42,1.0016857,4,74,16,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Partial.1,4
57,2016,December,Arid,1,Total,1,0,1,0,0,0.693147181,Lebec,52.1,36.4,3.43,87.12217424,34,1.2446206,4,68,16,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Total.1,7
58,2016,December,Arid,2,Open,0,0,0,0,0,0,Lebec,52.1,36.4,3.43,87.12217424,13,0.5895476,2,61,6,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Open.2,10
59,2016,December,Arid,2,Partial,1,1,0,0,0,0.693147181,Lebec,52.1,36.4,3.43,87.12217424,42,1.0016857,4,73,46,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Partial.2,13
60,2016,December,Arid,2,Total,0,0,0,0,0,0,Lebec,52.1,36.4,3.43,87.12217424,34,1.2446206,4,61,41,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Total.2,16
61,2016,December,Arid,3,Open,0,0,0,0,0,0,Lebec,52.1,36.4,3.43,87.12217424,13,0.5895476,2,83,3,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Open.3,19
62,2016,December,Arid,3,Partial,0,0,0,0,0,0,Lebec,52.1,36.4,3.43,87.12217424,42,1.0016857,4,70,#N/A,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Partial.3,22
63,2016,December,Arid,3,Total,0,0,0,0,0,0,Lebec,52.1,36.4,3.43,87.12217424,34,1.2446206,4,89,16,11.16666667,2.444444444,15.7,8.722222222,1089.7,2016/2017,Arid.Total.3,25
64,2016,December,Intermediate,2,Open,1,1,0,0,0,0.693147181,Loraine,52.4,32.1,3.57,90.67818136,8,0.5895476,2,85,6,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Open.2,11
65,2016,December,Intermediate,2,Partial,0,0,0,0,0,0,Loraine,52.4,32.1,3.57,90.67818136,12,0.748017,2,48,2,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Partial.2,14
66,2016,December,Intermediate,2,Total,1,1,0,0,0,0.693147181,Loraine,52.4,32.1,3.57,90.67818136,23,0.687067,2,85,#N/A,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Total.2,17
67,2016,December,Intermediate,3,Open,0,0,0,0,0,0,Loraine,52.4,32.1,3.57,90.67818136,8,0.5895476,2,208,#N/A,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Open.3,20
68,2016,December,Intermediate,3,Partial,2,1,1,0,0,1.098612289,Loraine,52.4,32.1,3.57,90.67818136,12,0.748017,2,163,#N/A,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Partial.3,23
69,2016,December,Intermediate,3,Total,1,0,1,0,0,0.693147181,Loraine,52.4,32.1,3.57,90.67818136,23,0.687067,2,177,2,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Total.3,26
70,2016,December,Intermediate,1,Open,1,1,0,0,0,0.693147181,Loraine,52.4,32.1,3.57,90.67818136,8,0.5895476,2,130,#N/A,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Open.1,2
71,2016,December,Intermediate,1,Partial,0,0,0,0,0,0,Loraine,52.4,32.1,3.57,90.67818136,12,0.748017,2,134,8,11.33333333,0.055555556,20.3,11.27777778,1290.8,2016/2017,Intermediate.Partial.1,5
