FIPSCode,State,County,Ixodes_pacificus_county_status,Year
06001,CA,Alameda County,Established,2016
06003,CA,Alpine County,No records,2016
06005,CA,Amador County,Established,2016
06007,CA,Butte County,Established,2016
06009,CA,Calaveras County,Established,2016
06011,CA,Colusa County,Established,2016
06013,CA,Contra Costa County,Established,2016
06015,CA,Del Norte County,Established,2016
06017,CA,El Dorado County,Established,2016
06019,CA,Fresno County,Established,2016
06021,CA,Glenn County,Established,2016
06023,CA,Humboldt County,Established,2016
06025,CA,Imperial County,Established,2016
06027,CA,Inyo County,Established,2016
06029,CA,Kern County,Established,2016
06031,CA,Kings County,Established,2016
06033,CA,Lake County,Established,2016
06035,CA,Lassen County,Established,2016
06037,CA,Los Angeles County,Established,2016
06039,CA,Madera County,Established,2016
06041,CA,Marin County,Established,2016
06043,CA,Mariposa County,Established,2016
06045,CA,Mendocino County,Established,2016
06047,CA,Merced County,Established,2016
06049,CA,Modoc County,No records,2016
06051,CA,Mono County,Reported,2016
06053,CA,Monterey County,Established,2016
06055,CA,Napa County,Established,2016
06057,CA,Nevada County,Established,2016
06059,CA,Orange County,Established,2016
06061,CA,Placer County,Established,2016
06063,CA,Plumas County,Established,2016
06065,CA,Riverside County,Established,2016
06067,CA,Sacramento County,Established,2016
06069,CA,San Benito County,Established,2016
06071,CA,San Bernardino County,Established,2016
06073,CA,San Diego County,Established,2016
06075,CA,San Francisco County,Established,2016
06077,CA,San Joaquin County,Established,2016
06079,CA,San Luis Obispo County,Established,2016
06081,CA,San Mateo County,Established,2016
06083,CA,Santa Barbara County,Established,2016
06085,CA,Santa Clara County,Established,2016
06087,CA,Santa Cruz County,Established,2016
06089,CA,Shasta County,Established,2016
06091,CA,Sierra County,Established,2016
06093,CA,Siskiyou County,Established,2016
06095,CA,Solano County,Established,2016
06097,CA,Sonoma County,Established,2016
06099,CA,Stanislaus County,Established,2016
06101,CA,Sutter County,Established,2016
06103,CA,Tehama County,Established,2016
06105,CA,Trinity County,Established,2016
06107,CA,Tulare County,Established,2016
06109,CA,Tuolumne County,Established,2016
06111,CA,Ventura County,Established,2016
06113,CA,Yolo County,Established,2016
06001,CA,Alameda County,Established,2018
06003,CA,Alpine County,No records,2018
06005,CA,Amador County,Established,2018
06007,CA,Butte County,Established,2018
06009,CA,Calaveras County,Established,2018
06011,CA,Colusa County,Established,2018
06013,CA,Contra Costa County,Established,2018
06015,CA,Del Norte County,Established,2018
06017,CA,El Dorado County,Established,2018
06019,CA,Fresno County,Established,2018
06021,CA,Glenn County,Established,2018
06023,CA,Humboldt County,Established,2018
06025,CA,Imperial County,Established,2018
06027,CA,Inyo County,Established,2018
